"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_0_0:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_0_1:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_0_2:2"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_0_3:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_0_4:1"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_0_5:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_0_6:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_0_7:1"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_0_8:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_0_9:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_1_0:1"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_1_1:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_1_2:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_1_3:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_1_4:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_1_5:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_1_6:2"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_1_7:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_1_8:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_2_5:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_2_6:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_2_7:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_2_8:2"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_2_9:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_3_9:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_4_0:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_4_2:1"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_5_2:2"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_5_3:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_5_4:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_5_5:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_5_6:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_5_7:1"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_5_8:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_5_9:1"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_6_0:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_6_1:1"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_6_2:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_6_3:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_6_4:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_6_5:2"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_6_6:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_6_7:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_6_8:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_6_9:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_7_0:2"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_7_1:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_7_2:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_7_3:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_7_4:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_7_5:2"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_7_6:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_7_7:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_7_8:1"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_7_9:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_8_0:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_8_1:2"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_8_2:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_8_3:1"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_8_4:1"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_8_5:1"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_8_6:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_8_7:3"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_8_8:1"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_8_9:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_9_0:5"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_9_1:2"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_9_2:4"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Settings","STATS_9_3:5"
"<java.nio.ShortBuffer: java.nio.ShortBuffer put(short[],int,int)>","[S@d47fa7c","0","1200"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 15"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 14"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 14"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1728"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1648"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1632"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1616"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1520"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1504"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1456"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1360"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1328"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@ddf9f05","0","1248"
